caseNumber,accountNumber,customerName,customerEmail,customerPhone,amount,currency,overdueDays,dueDate,status,priority,assignedDcaId,assignedDcaName,slaStatus,productType,region
FX-2024-035,ACC-78979,Biotechnology Lab,payments@biotech.com,555-0135,58000,USD,115,2025-10-13,new,critical,,,on_track,Biotechnology,West
FX-2024-036,ACC-78980,Sports Equipment,finance@sportseq.com,555-0136,10200,USD,13,2026-01-23,new,low,,,on_track,Sports & Recreation,South
FX-2024-037,ACC-78981,Office Supplies,billing@officesup.com,555-0137,6800,USD,41,2025-12-26,new,medium,,,on_track,Office Products,North
FX-2024-038,ACC-78982,Environmental Services,ar@envserv.com,555-0138,29700,USD,82,2025-11-15,new,high,,,on_track,Environmental,East
FX-2024-039,ACC-78983,Media Production,payments@mediaprod.com,555-0139,14500,USD,29,2026-01-07,new,medium,,,on_track,Media,West
FX-2024-040,ACC-78984,Renewable Energy,finance@renewable.com,555-0140,73000,USD,118,2025-10-10,new,critical,,,on_track,Energy,South
FX-2024-041,ACC-78985,Consulting Group,billing@consultgrp.com,555-0141,11900,USD,17,2026-01-19,new,medium,,,on_track,Business Consulting,North
FX-2024-042,ACC-78986,Data Analytics,ap@dataanalytics.com,555-0142,24800,USD,62,2025-12-05,new,high,,,on_track,Technology,East
FX-2024-043,ACC-78987,Cloud Services,payments@cloudserv.com,555-0143,38500,USD,96,2025-11-01,new,high,,,on_track,IT Services,West
FX-2024-044,ACC-78988,Mobile Solutions,finance@mobilesol.com,555-0144,16300,USD,21,2026-01-15,new,medium,,,on_track,Mobile Technology,South
FX-2024-045,ACC-78989,E-commerce Platform,billing@ecommerce.com,555-0145,27600,USD,74,2025-11-23,new,high,,,on_track,E-commerce,North
FX-2024-046,ACC-78990,Gaming Studio,ar@gamingstudio.com,555-0146,19400,USD,104,2025-10-24,new,medium,,,on_track,Gaming,East
FX-2024-047,ACC-78991,Social Media Inc,payments@socialmedia.com,555-0147,12700,USD,9,2026-01-27,new,low,,,on_track,Social Media,West
FX-2024-048,ACC-78992,AI Research Lab,finance@airesearch.com,555-0148,64000,USD,128,2025-09-30,new,critical,,,on_track,Research & Development,South
FX-2024-049,ACC-78993,Robotics Corp,billing@robotics.com,555-0149,47000,USD,35,2026-01-01,new,high,,,on_track,Robotics,North
FX-2024-050,ACC-78994,Blockchain Tech,ap@blockchain.com,555-0150,31200,USD,81,2025-11-16,new,medium,,,on_track,FinTech,East
FX-2024-051,ACC-78995,Virtual Reality,payments@virtualr.com,555-0151,22900,USD,112,2025-10-16,new,high,,,on_track,Entertainment Tech,West
FX-2024-052,ACC-78996,Cybersecurity Firm,finance@cybersec.com,555-0152,39800,USD,26,2026-01-10,new,high,,,on_track,Cybersecurity,South
FX-2024-053,ACC-78997,IoT Solutions,billing@iotsol.com,555-0153,18600,USD,57,2025-12-10,new,medium,,,on_track,IoT,North
FX-2024-054,ACC-78998,Smart Home Tech,ar@smarthome.com,555-0154,13400,USD,99,2025-10-29,new,medium,,,on_track,Consumer Electronics,East
FX-2024-055,ACC-78999,Wearable Devices,payments@wearable.com,555-0155,15100,USD,18,2026-01-18,new,low,,,on_track,Wearables,West
FX-2024-056,ACC-79000,Drone Services,finance@droneserv.com,555-0156,28300,USD,71,2025-11-26,new,high,,,on_track,Aviation Services,South
FX-2024-057,ACC-79001,3D Printing Co,billing@3dprinting.com,555-0157,21800,USD,108,2025-10-20,new,medium,,,on_track,Manufacturing,North
FX-2024-058,ACC-79002,Nanotechnology,ap@nanotech.com,555-0158,55000,USD,14,2026-01-22,new,high,,,on_track,Advanced Materials,East
FX-2024-059,ACC-79003,Quantum Computing,payments@quantum.com,555-0159,86000,USD,122,2025-10-06,new,critical,,,on_track,Quantum Tech,West
FX-2024-060,ACC-79004,Gene Therapy Lab,finance@genetherapy.com,555-0160,49000,USD,38,2025-12-29,new,high,,,on_track,Biotechnology,South
FX-2024-061,ACC-79005,Space Technology,billing@spacetech.com,555-0161,125000,USD,93,2025-11-04,new,critical,,,on_track,Aerospace,North
FX-2024-062,ACC-79006,Marine Sciences,ar@marinescience.com,555-0162,17200,USD,24,2026-01-12,new,medium,,,on_track,Research,East
FX-2024-063,ACC-79007,Clean Water Solutions,payments@cleanwater.com,555-0163,33700,USD,66,2025-12-01,new,high,,,on_track,Environmental,West
FX-2024-064,ACC-79008,Solar Power Inc,finance@solarpower.com,555-0164,42100,USD,101,2025-10-27,new,high,,,on_track,Renewable Energy,South
FX-2024-065,ACC-79009,Wind Energy Co,billing@windenergy.com,555-0165,36500,USD,19,2026-01-17,new,medium,,,on_track,Energy,North
FX-2024-066,ACC-79010,EV Manufacturing,ap@evmanuf.com,555-0166,78000,USD,77,2025-11-20,new,critical,,,on_track,Automotive,East
FX-2024-067,ACC-79011,Battery Tech,payments@batterytech.com,555-0167,29400,USD,119,2025-10-09,new,high,,,on_track,Energy Storage,West
FX-2024-068,ACC-79012,Green Building,finance@greenbuilding.com,555-0168,44600,USD,28,2026-01-08,new,high,,,on_track,Construction,South
FX-2024-069,ACC-79013,Urban Planning,billing@urbanplan.com,555-0169,23800,USD,54,2025-12-13,new,medium,,,on_track,Urban Development,North
FX-2024-070,ACC-79014,Smart Cities,ar@smartcities.com,555-0170,61000,USD,97,2025-10-31,new,critical,,,on_track,Infrastructure,East
FX-2024-071,ACC-79015,Public Transport,payments@publictrans.com,555-0171,35900,USD,15,2026-01-21,new,medium,,,on_track,Transportation,West
FX-2024-072,ACC-79016,Logistics Tech,finance@logisticstech.com,555-0172,26700,USD,68,2025-11-29,new,high,,,on_track,Supply Chain,South
FX-2024-073,ACC-79017,Warehouse Automation,billing@warehouse.com,555-0173,48200,USD,111,2025-10-17,new,high,,,on_track,Automation,North
FX-2024-074,ACC-79018,Fleet Management,ap@fleetmgmt.com,555-0174,19700,USD,22,2026-01-14,new,medium,,,on_track,Transportation,East
FX-2024-075,ACC-79019,Delivery Services,payments@deliveryserv.com,555-0175,14900,USD,49,2025-12-18,new,medium,,,on_track,Logistics,West
FX-2024-076,ACC-79020,Cold Chain Logistics,finance@coldchain.com,555-0176,37400,USD,89,2025-11-08,new,high,,,on_track,Refrigerated Transport,South
FX-2024-077,ACC-79021,Freight Forwarding,billing@freightfwd.com,555-0177,27100,USD,17,2026-01-19,new,medium,,,on_track,Freight,North
FX-2024-078,ACC-79022,Import Export Co,ar@importexport.com,555-0178,56000,USD,84,2025-11-13,new,critical,,,on_track,International Trade,East
FX-2024-079,ACC-79023,Customs Brokerage,payments@customsbrok.com,555-0179,21300,USD,126,2025-10-02,new,medium,,,on_track,Trade Services,West
FX-2024-080,ACC-79024,Port Operations,finance@portops.com,555-0180,69000,USD,33,2026-01-03,new,high,,,on_track,Maritime,South
FX-2024-081,ACC-79025,Cargo Handling,billing@cargohand.com,555-0181,32800,USD,59,2025-12-08,new,high,,,on_track,Logistics,North
FX-2024-082,ACC-79026,Supply Chain Tech,ap@supplychain.com,555-0182,43500,USD,103,2025-10-25,new,high,,,on_track,Technology,East
FX-2024-083,ACC-79027,Inventory Management,payments@inventory.com,555-0183,18100,USD,16,2026-01-20,new,low,,,on_track,Software,West
FX-2024-084,ACC-79028,Procurement Services,finance@procurement.com,555-0184,25600,USD,73,2025-11-24,new,medium,,,on_track,Business Services,South
FX-2024-085,ACC-79029,Contract Manufacturing,billing@contractmfg.com,555-0185,51000,USD,114,2025-10-14,new,critical,,,on_track,Manufacturing,North
FX-2024-086,ACC-79030,Quality Assurance,ar@qualityassur.com,555-0186,16800,USD,21,2026-01-15,new,medium,,,on_track,Testing Services,East
FX-2024-087,ACC-79031,Compliance Solutions,payments@compliance.com,555-0187,29900,USD,61,2025-12-06,new,high,,,on_track,Regulatory,West
FX-2024-088,ACC-79032,Risk Management,finance@riskmgmt.com,555-0188,38700,USD,94,2025-11-03,new,high,,,on_track,Financial Services,South
FX-2024-089,ACC-79033,Audit Services,billing@auditserv.com,555-0189,22500,USD,12,2026-01-24,new,medium,,,on_track,Professional Services,North
FX-2024-090,ACC-79034,Tax Advisory,ap@taxadvisory.com,555-0190,14200,USD,46,2025-12-21,new,medium,,,on_track,Tax Services,East
FX-2024-091,ACC-79035,Bookkeeping Co,payments@bookkeeping.com,555-0191,9300,USD,87,2025-11-10,new,low,,,on_track,Accounting,West
FX-2024-092,ACC-79036,Payroll Services,finance@payroll.com,555-0192,17600,USD,25,2026-01-11,new,medium,,,on_track,HR Services,South
FX-2024-093,ACC-79037,HR Technology,billing@hrtech.com,555-0193,33400,USD,70,2025-11-27,new,high,,,on_track,Human Resources,North
FX-2024-094,ACC-79038,Talent Acquisition,ar@talentacq.com,555-0194,20900,USD,106,2025-10-22,new,medium,,,on_track,Recruitment,East
FX-2024-095,ACC-79039,Training Solutions,payments@training.com,555-0195,12600,USD,18,2026-01-18,new,low,,,on_track,Education,West
FX-2024-096,ACC-79040,Learning Platform,finance@learning.com,555-0196,28800,USD,52,2025-12-15,new,medium,,,on_track,EdTech,South
FX-2024-097,ACC-79041,Corporate Events,billing@corpevents.com,555-0197,15700,USD,100,2025-10-28,new,medium,,,on_track,Event Management,North
FX-2024-098,ACC-79042,Conference Services,ap@conference.com,555-0198,19500,USD,14,2026-01-22,new,medium,,,on_track,Event Services,East
FX-2024-099,ACC-79043,Catering Business,payments@catering.com,555-0199,11800,USD,63,2025-12-04,new,low,,,on_track,Food Services,West
FX-2024-100,ACC-79044,Venue Management,finance@venuemgmt.com,555-0200,34200,USD,92,2025-11-05,new,high,,,on_track,Hospitality,South
FX-2024-101,ACC-79045,Travel Agency,billing@travelagency.com,555-0201,13100,USD,27,2026-01-09,new,medium,,,on_track,Travel,North
FX-2024-102,ACC-79046,Adventure Tourism,ar@adventure.com,555-0202,24300,USD,78,2025-11-19,new,medium,,,on_track,Tourism,East
FX-2024-103,ACC-79047,Hotel Chain,payments@hotelchain.com,555-0203,67500,USD,121,2025-10-07,new,critical,,,on_track,Hospitality,West
FX-2024-104,ACC-79048,Resort Management,finance@resortmgmt.com,555-0204,45800,USD,30,2026-01-06,new,high,,,on_track,Hospitality,South
FX-2024-105,ACC-79049,Restaurant Group,billing@restaurant.com,555-0205,18400,USD,55,2025-12-12,new,medium,,,on_track,Food & Beverage,North
FX-2024-106,ACC-79050,Food Delivery,ap@fooddelivery.com,555-0206,8700,USD,109,2025-10-19,new,low,,,on_track,Delivery Services,East
FX-2024-107,ACC-79051,Grocery Chain,payments@grocery.com,555-0207,52300,USD,20,2026-01-16,new,high,,,on_track,Retail,West
FX-2024-108,ACC-79052,Pharmacy Network,finance@pharmacy.com,555-0208,26900,USD,75,2025-11-22,new,medium,,,on_track,Healthcare,South
FX-2024-109,ACC-79053,Medical Devices,billing@meddevices.com,555-0209,39100,USD,117,2025-10-11,new,high,,,on_track,Medical Equipment,North
FX-2024-110,ACC-79054,Diagnostic Center,ar@diagnostic.com,555-0210,21700,USD,11,2026-01-25,new,medium,,,on_track,Healthcare Services,East
